date,open,high,low,close,volume,adj_close
2020-01-02,296.24,300.6,295.19,300.35,33911864,300.35
2020-01-03,297.15,300.58,296.5,297.43,36633878,297.43
2020-01-06,293.79,299.96,292.75,299.8,29644644,299.8
2020-01-07,299.84,300.9,297.48,298.39,27877655,298.39
2020-01-08,297.16,304.44,297.16,303.19,33090946,303.19
2020-01-09,307.24,310.43,306.2,309.63,42621542,309.63
2020-01-10,310.6,312.67,308.25,310.33,35217272,310.33
2020-01-13,311.64,317.07,311.15,316.96,30521722,316.96
2020-01-14,316.7,317.57,312.17,312.68,40653457,312.68
2020-01-15,311.85,315.5,309.55,311.34,30480882,311.34
2020-01-16,313.59,315.7,312.09,315.24,27207254,315.24
2020-01-17,316.27,318.74,315.0,318.73,34454117,318.73
2020-01-21,317.19,319.02,316.0,316.57,27710814,316.57
2020-01-22,318.58,319.99,317.31,317.7,25458115,317.7
2020-01-23,317.92,319.56,315.65,319.23,26117993,319.23
2020-01-24,320.25,323.33,317.52,318.31,36634380,318.31
2020-01-27,310.06,311.77,304.88,308.95,40485005,308.95
2020-01-28,312.6,318.4,312.19,317.69,40558486,317.69
2020-01-29,324.45,327.85,321.38,324.34,54149928,324.34
2020-01-30,320.54,324.09,318.75,323.87,31685808,323.87
2020-01-31,320.93,322.68,308.29,309.51,49897096,309.51
2020-02-03,304.3,313.49,302.22,308.66,43496401,308.66
2020-02-04,315.31,319.64,313.63,318.85,34154134,318.85
2020-02-05,323.52,324.76,318.95,321.45,29706718,321.45
2020-02-06,322.57,325.22,320.26,325.21,26356385,325.21
2020-02-07,322.37,323.4,318.0,320.03,29421012,320.03
2020-02-10,314.18,321.55,313.85,321.55,27337215,321.55
2020-02-11,323.6,323.9,318.71,319.61,23580780,319.61
2020-02-12,321.47,327.22,321.47,327.2,28432573,327.2
2020-02-13,324.19,326.22,323.35,324.87,23686892,324.87
2020-02-14,324.74,325.98,322.85,324.95,20028447,324.95
2020-02-18,315.36,319.75,314.61,319.0,38190545,319.0
2020-02-19,320.0,324.57,320.0,323.62,23495991,323.62
2020-02-20,322.63,324.65,318.21,320.3,25141489,320.3
2020-02-21,318.62,320.45,310.5,313.05,32426415,313.05
2020-02-24,297.26,304.18,289.23,298.18,55548828,298.18
2020-02-25,300.95,302.53,286.13,288.08,57668364,288.08
2020-02-26,286.53,297.88,286.5,292.65,49678431,292.65
2020-02-27,281.1,286.0,272.96,273.52,80151381,273.52
2020-02-28,257.26,278.41,256.37,273.36,106721230,273.36
2020-03-02,282.28,301.44,277.72,298.81,85349339,298.81
2020-03-03,303.67,304.0,285.8,289.32,79868852,289.32
2020-03-04,296.44,303.4,293.13,302.74,54794568,302.74
2020-03-05,295.52,299.55,291.41,292.92,46893219,292.92
2020-03-06,282.0,290.82,281.23,289.03,56544246,289.03
2020-03-09,263.75,278.09,263.0,266.17,71686208,266.17
2020-03-10,277.14,286.44,269.37,285.34,71322520,285.34
2020-03-11,277.39,281.22,271.86,275.43,64094970,275.43
2020-03-12,255.94,270.0,248.0,248.23,104618517,248.23
2020-03-13,264.89,279.92,252.95,277.97,92683032,277.97
2020-03-16,241.95,259.08,240.0,242.21,80605865,242.21
2020-03-17,247.51,257.61,238.4,252.86,81013965,252.86
2020-03-18,239.77,250.0,237.12,246.67,75058406,246.67
2020-03-19,247.39,252.84,242.61,244.78,67964255,244.78
2020-03-20,247.18,251.83,228.0,229.24,100423346,229.24
2020-03-23,228.08,228.5,212.61,224.37,84188208,224.37
2020-03-24,236.36,247.69,234.3,246.88,71882773,246.88
2020-03-25,250.75,258.25,244.3,245.52,75900510,245.52
2020-03-26,246.52,258.68,246.36,258.44,63140169,258.44
2020-03-27,252.75,255.87,247.05,247.74,51054153,247.74
2020-03-30,250.74,255.52,249.4,254.81,41994110,254.81
2020-03-31,255.6,262.49,252.0,254.29,49250501,254.29
2020-04-01,246.5,248.72,239.13,240.91,44054638,240.91
2020-04-02,240.34,245.15,236.9,244.93,41483493,244.93
2020-04-03,242.8,245.7,238.97,241.41,32470017,241.41
2020-04-06,250.9,263.11,249.38,262.47,50455071,262.47
2020-04-07,270.8,271.7,259.0,259.43,50721831,259.43
2020-04-08,262.74,267.37,261.23,266.07,42223821,266.07
2020-04-09,268.7,270.07,264.7,267.99,40529123,267.99
2020-04-13,268.31,273.7,265.83,273.25,32755731,273.25
