date,open,high,low,close,volume,adj_close
2015-09-17,44.29,45.0,44.08,44.26,29729386,44.26
2015-09-18,43.5,43.99,43.33,43.48,58596247,43.48
2015-09-21,43.62,44.47,43.6,44.11,25994889,44.11
2015-09-22,43.38,44.05,43.31,43.91,27729402,43.91
2015-09-23,43.93,44.17,43.51,43.87,17044186,43.87
2015-09-24,43.45,44.13,43.27,43.94,27398690,43.94
2015-09-25,44.48,44.73,43.76,43.92,29093394,43.92
2015-09-28,43.83,44.08,43.2,43.29,27173736,43.29
2015-09-29,43.37,43.57,43.05,43.44,32606623,43.44
2015-09-30,43.88,44.3,43.66,44.2,34294538,44.2
2015-10-01,44.75,44.75,43.75,44.62,28175320,44.62
2015-10-02,44.27,45.57,43.92,45.57,41458135,45.57
2015-10-05,45.74,46.89,45.7,46.61,32995508,46.61
2015-10-06,46.33,47.17,46.22,46.75,27325459,46.75
2015-10-07,47.1,47.35,45.95,46.78,27346856,46.78
2015-10-08,46.56,47.51,46.5,47.45,33052228,47.45
2015-10-09,47.45,47.54,46.92,47.11,28369883,47.11
2015-10-12,46.98,47.07,46.5,47.0,19666826,47.0
2015-10-13,46.56,47.13,46.56,46.89,18859677,46.89
2015-10-14,46.65,47.1,46.53,46.68,24491324,46.68
2015-10-15,47.01,47.03,46.53,47.01,27117498,47.01
2015-10-16,47.02,47.54,46.89,47.51,25744215,47.51
2015-10-19,47.42,47.88,47.02,47.62,29104881,47.62
2015-10-20,47.44,47.81,47.02,47.77,30544375,47.77
2015-10-21,47.92,47.99,47.11,47.2,25139606,47.2
2015-10-22,47.53,48.95,47.09,48.03,53423795,48.03
2015-10-23,52.3,54.07,52.25,52.98,134134552,52.98
2015-10-26,52.53,54.32,52.5,54.25,63237416,54.25
2015-10-27,53.99,54.37,53.58,53.69,48593103,53.69
2015-10-28,53.54,53.98,52.86,53.98,45148836,53.98
2015-10-29,53.54,53.83,53.22,53.36,30024427,53.36
2015-10-30,53.32,53.99,52.62,52.64,46258768,52.64
2015-11-02,52.85,53.36,52.62,53.25,29936477,53.25
2015-11-03,52.93,54.39,52.9,54.15,35782048,54.15
2015-11-04,54.18,54.88,54.06,54.4,36932099,54.4
2015-11-05,54.49,54.7,54.0,54.38,30662870,54.38
2015-11-06,54.08,54.98,53.96,54.92,30858539,54.92
2015-11-09,54.55,54.87,53.56,54.16,32484812,54.16
2015-11-10,54.07,54.13,53.27,53.51,55079308,53.51
2015-11-11,53.7,54.2,53.46,53.65,34009808,53.65
2015-11-12,53.48,53.97,53.19,53.32,34509380,53.32
2015-11-13,53.07,53.29,52.53,52.84,36413394,52.84
2015-11-16,53.08,53.89,52.85,53.76,31723719,53.76
2015-11-17,53.17,53.53,52.85,52.97,31211644,52.97
2015-11-18,53.0,53.98,52.98,53.85,28800185,53.85
2015-11-19,53.99,54.66,53.78,53.94,28131312,53.94
2015-11-20,54.25,54.3,53.26,54.19,37101507,54.19
2015-11-23,54.28,54.46,53.75,54.19,27767580,54.19
2015-11-24,53.92,54.44,53.58,54.25,24482348,54.25
2015-11-25,54.09,54.23,53.69,53.69,20933218,53.69
2015-11-27,53.8,54.08,53.79,53.93,9009113,53.93
2015-11-30,54.54,54.96,54.0,54.36,53992464,54.36
2015-12-01,54.41,55.23,54.3,55.22,39848757,55.22
2015-12-02,55.32,55.96,55.06,55.21,47244561,55.21
2015-12-03,55.49,55.77,53.93,54.21,38532249,54.21
2015-12-04,54.12,56.23,54.1,55.91,42549999,55.91
2015-12-07,55.79,55.97,55.29,55.82,30652797,55.82
2015-12-08,55.47,56.1,54.99,55.79,32597981,55.79
2015-12-09,55.37,55.87,54.51,54.98,36151403,54.98
2015-12-10,55.39,55.65,55.01,55.27,31620727,55.27
2015-12-11,54.71,55.1,54.01,54.06,39419769,54.06
2015-12-14,54.33,55.21,53.68,55.15,46848140,55.15
2015-12-15,55.66,55.9,55.09,55.2,39617244,55.2
2015-12-16,55.54,56.24,54.76,56.13,37248433,56.13
2015-12-17,56.36,56.79,55.53,55.7,41211691,55.7
2015-12-18,55.77,56.0,54.03,54.13,83798438,54.13
2015-12-21,54.88,55.35,54.22,54.8,36909513,54.8
2015-12-22,54.99,55.48,54.5,55.35,28300849,55.35
2015-12-23,55.7,55.88,55.44,55.82,27185227,55.82
2015-12-24,55.86,55.96,55.43,55.67,9569402,55.67
2015-12-28,55.35,55.95,54.98,55.95,21698476,55.95
2015-12-29,56.29,56.85,56.06,56.55,27631254,56.55
2015-12-30,56.47,56.78,56.28,56.31,21650545,56.31
2015-12-31,56.04,56.19,55.42,55.45,26573083,55.45
2016-01-04,54.32,54.8,53.39,54.79,52949025,54.79
2016-01-05,54.93,55.39,54.54,55.05,34055271,55.05
2016-01-06,54.32,54.4,53.64,54.05,39475569,54.05
2016-01-07,52.7,53.48,52.07,52.2,55769956,52.2
2016-01-08,52.37,53.28,52.15,52.33,48446372,52.33
2016-01-11,52.51,52.85,51.46,52.3,36663860,52.3
2016-01-12,52.76,53.1,52.06,52.77,35697775,52.77
2016-01-13,53.8,54.07,51.3,51.64,66773189,51.64
2016-01-14,52.0,53.41,51.57,53.11,51433616,53.11
