date,open,high,low,close,volume,adj_close
2022-08-26,297.43,302.0,287.47,288.09,57163947,288.09
2022-08-29,282.83,287.74,280.7,284.82,41864742,284.82
2022-08-30,287.87,288.48,272.65,277.7,50541759,277.7
2022-08-31,280.62,281.25,271.81,275.61,52107337,275.61
2022-09-01,272.58,277.58,266.15,277.16,54287024,277.16
2022-09-02,281.07,282.35,269.08,270.21,50890090,270.21
2022-09-06,272.68,275.99,265.74,274.42,55859984,274.42
2022-09-07,273.1,283.84,272.27,283.7,50028916,283.7
2022-09-08,281.3,289.5,279.76,289.26,53713124,289.26
2022-09-09,291.67,299.85,291.25,299.68,54470854,299.68
2022-09-12,300.72,305.49,300.4,304.42,48674604,304.42
2022-09-13,292.9,297.4,290.4,292.13,68229619,292.13
2022-09-14,292.24,306.0,291.64,302.61,72628653,302.61
2022-09-15,301.83,309.12,300.72,303.75,64795523,303.75
2022-09-16,299.61,303.71,295.6,303.35,87087786,303.35
2022-09-19,300.09,309.84,297.8,309.07,60231156,309.07
2022-09-20,306.91,313.33,305.58,308.73,61642783,308.73
2022-09-21,308.29,313.8,300.63,300.8,62555656,300.8
2022-09-22,299.86,301.29,285.82,288.59,70545413,288.59
2022-09-23,283.09,284.5,272.82,275.33,63748362,275.33
2022-09-26,271.83,284.09,270.31,276.01,58076913,276.01
2022-09-27,283.84,288.67,277.51,282.94,61925185,282.94
2022-09-28,283.08,289.0,277.57,287.81,54664809,287.81
2022-09-29,282.76,283.65,265.78,268.21,77620642,268.21
2022-09-30,266.15,275.57,262.47,265.25,67726598,265.25
2022-10-03,254.5,255.16,241.01,242.4,98363541,242.4
2022-10-04,250.52,257.5,242.01,249.44,109578535,249.44
2022-10-05,245.01,246.67,233.27,240.81,86982673,240.81
2022-10-06,239.44,244.58,235.35,238.13,69298437,238.13
2022-10-07,233.94,234.57,222.02,223.07,83916800,223.07
2022-10-10,223.93,226.99,218.36,222.96,67925018,222.96
2022-10-11,220.95,225.75,215.0,216.5,77013202,216.5
2022-10-12,215.33,219.3,211.51,217.24,66860699,217.24
2022-10-13,208.3,222.99,206.22,221.72,91483045,221.72
2022-10-14,224.01,226.26,204.16,204.99,94124511,204.99
