date,open,high,low,close,volume,adj_close
2023-08-02,255.57,259.52,250.49,254.11,101752865,254.11
2023-08-03,252.04,260.49,252.0,259.32,97829545,259.32
2023-08-04,260.97,264.77,253.11,253.86,99539907,253.86
2023-08-07,251.45,253.65,242.76,251.45,111097943,251.45
2023-08-08,247.45,250.92,245.01,249.7,96642183,249.7
2023-08-09,250.87,251.1,241.9,242.19,101596324,242.19
2023-08-10,245.4,251.8,243.0,245.34,109498608,245.34
2023-08-11,241.77,243.79,238.02,242.65,99038642,242.65
2023-08-14,235.7,240.66,233.75,239.76,98595331,239.76
2023-08-15,238.73,240.5,232.61,232.96,88197599,232.96
2023-08-16,228.02,233.97,225.38,225.6,112484520,225.6
2023-08-17,226.06,226.74,218.83,219.22,120718417,219.22
2023-08-18,214.12,217.58,212.36,215.49,136276584,215.49
2023-08-21,221.55,232.13,220.58,231.28,135702671,231.28
2023-08-22,240.25,240.82,229.55,233.19,130597886,233.19
2023-08-23,229.34,238.98,229.29,236.86,101077635,236.86
2023-08-24,238.66,238.92,228.18,230.04,99777432,230.04
2023-08-25,231.31,239.0,230.35,238.59,106612231,238.59
2023-08-28,242.58,244.38,235.35,238.82,107673727,238.82
2023-08-29,238.58,257.48,237.77,257.18,134047603,257.18
2023-08-30,254.2,260.51,250.59,256.9,121988437,256.9
2023-08-31,255.98,261.18,255.05,258.08,108861698,258.08
2023-09-01,257.26,259.08,242.01,245.01,132541640,245.01
2023-09-05,245.0,258.0,244.86,256.49,129469565,256.49
2023-09-06,255.14,255.39,245.06,251.92,116959759,251.92
2023-09-07,245.07,252.81,243.27,251.49,115312886,251.49
2023-09-08,251.22,256.52,246.67,248.5,118559635,248.5
2023-09-11,264.27,274.85,260.61,273.58,174667852,273.58
2023-09-12,270.76,278.39,266.6,267.48,135999866,267.48
2023-09-13,270.07,274.98,268.1,271.3,111673737,271.3
2023-09-14,271.32,276.71,270.42,276.04,107709842,276.04
2023-09-15,277.55,278.98,271.0,274.39,133692313,274.39
2023-09-18,271.16,271.44,263.76,265.28,101543305,265.28
2023-09-19,264.35,267.85,261.2,266.5,103704040,266.5
2023-09-20,267.04,273.93,262.46,262.59,122514643,262.59
2023-09-21,257.85,260.86,254.21,255.7,119951516,255.7
2023-09-22,257.4,257.79,244.48,244.88,127524083,244.88
2023-09-25,243.38,247.1,238.31,246.99,104636557,246.99
2023-09-26,242.98,249.55,241.66,244.12,101993631,244.12
2023-09-27,244.26,245.33,234.58,240.5,136597184,240.5
2023-09-28,240.02,247.55,238.65,246.38,117058870,246.38
2023-09-29,250.0,254.77,246.35,250.22,128522729,250.22
2023-10-02,244.81,254.28,242.62,251.6,123810402,251.6
2023-10-03,248.61,250.02,244.45,246.53,101985305,246.53
2023-10-04,248.14,261.86,247.6,261.16,129721567,261.16
2023-10-05,260.0,263.6,256.25,260.05,119159214,260.05
2023-10-06,253.98,261.65,250.65,260.53,118121812,260.53
2023-10-09,255.31,261.36,252.05,259.67,101377947,259.67
2023-10-10,257.75,268.94,257.65,263.62,122656030,263.62
2023-10-11,266.2,268.6,260.9,262.99,103706266,262.99
2023-10-12,262.92,265.41,256.63,258.87,111508114,258.87
2023-10-13,258.9,259.6,250.22,251.12,102296786,251.12
2023-10-16,250.05,255.4,248.48,253.92,88917176,253.92
2023-10-17,250.1,257.18,247.08,254.85,93562909,254.85
2023-10-18,252.7,254.63,242.08,242.68,125147846,242.68
2023-10-19,225.95,230.61,216.78,220.11,170772713,220.11
2023-10-20,217.01,218.86,210.42,211.99,138009893,211.99
2023-10-23,210.0,216.98,202.51,212.08,150683368,212.08
2023-10-24,216.5,222.05,214.11,216.52,118231103,216.52
2023-10-25,215.88,220.1,212.2,212.42,107064904,212.42
2023-10-26,211.32,214.8,204.88,205.76,115112520,205.76
2023-10-27,210.6,212.41,205.77,207.3,94881171,207.3
2023-10-30,209.28,210.88,194.67,197.36,136448006,197.36
2023-10-31,196.12,202.8,194.07,200.84,118068172,200.84
2023-11-01,204.04,205.99,197.85,205.66,121661656,205.66
2023-11-02,212.97,219.2,211.45,218.51,125987515,218.51
2023-11-03,221.15,226.37,218.4,219.96,119534764,219.96
2023-11-06,223.98,226.32,215.0,219.27,117335719,219.27
2023-11-07,219.98,223.12,215.72,222.18,116900041,222.18
2023-11-08,223.15,224.15,217.64,222.11,106584767,222.11
2023-11-09,219.75,220.8,206.68,209.98,142110454,209.98
2023-11-10,210.03,215.38,205.69,214.65,131310113,214.65
2023-11-13,215.6,225.4,211.61,223.71,140447513,223.71
2023-11-14,235.03,238.14,230.72,237.41,149771428,237.41
2023-11-15,239.29,246.7,236.45,242.84,150353950,242.84
2023-11-16,239.49,240.88,230.96,233.59,136816543,233.59
2023-11-17,232.0,237.39,226.54,234.3,142766105,234.3
